City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,ushuaia,20,AR,1518757200,87,-54.81,-68.31,51.8,17.22
1,rikitea,76,PF,1518760916,100,-23.12,-134.97,78.89,12.59
2,baykit,48,RU,1518760917,72,61.68,96.39,-0.09,4.43
3,putina,0,PE,1518760917,75,-14.91,-69.87,22.19,2.98
4,san patricio,32,PY,1518760918,64,-26.98,-56.83,74.57,3.98
5,port alfred,0,ZA,1518760918,88,-33.59,26.89,68.99,4.65
6,codrington,36,AU,1518760919,81,-28.95,153.24,80.02,4.99
7,atuona,0,PF,1518760919,100,-9.8,-139.03,80.74,17.85
8,fairbanks,75,US,1518759360,85,64.84,-147.72,24.8,2.64
9,lagoa,0,PT,1518759000,93,37.14,-8.45,46.4,5.82
10,thompson,40,CA,1518758880,70,55.74,-97.86,-5.81,8.05
11,sarana,56,RU,1518760921,76,56.48,57.73,13.42,4.54
12,san jose,0,PH,1518760738,69,15.79,120.99,85.69,2.98
13,karasuk,76,RU,1518760923,91,53.73,78.03,6.04,4.65
14,bredasdorp,76,ZA,1518757200,77,-34.53,20.04,68.0,5.82
15,goderich,92,CA,1518760924,93,43.74,-81.71,29.89,7.11
16,hope,90,CA,1518757200,93,49.38,-121.43,35.6,11.41
17,roma,0,IT,1518758400,55,41.89,12.48,37.4,3.36
18,faanui,92,PF,1518760925,99,-16.48,-151.75,82.49,15.61
19,norman wells,20,CA,1518757200,69,65.28,-126.83,-7.61,13.87
20,grafton,32,AU,1518760926,100,-29.69,152.93,74.12,2.64
21,kirakira,0,SB,1518760927,100,-10.46,161.92,84.97,15.84
22,castro,76,CL,1518760927,94,-42.48,-73.76,59.23,4.32
23,tuatapere,92,NZ,1518760928,100,-46.13,167.69,59.68,13.82
24,ouesso,76,CG,1518760928,92,1.61,16.05,75.92,1.86
25,bagratashen,90,GE,1518759000,80,41.24,44.82,41.0,4.7
26,butaritari,56,KI,1518760929,100,3.07,172.79,81.28,13.94
27,tuktoyaktuk,75,CA,1518759600,76,69.44,-133.03,-7.61,14.99
28,yellowknife,75,CA,1518757200,76,62.45,-114.38,-9.41,4.7
29,praia da vitoria,40,PT,1518757200,76,38.73,-27.07,53.6,13.27
30,new norfolk,75,AU,1518759000,39,-42.78,147.06,62.6,18.34
31,curup,68,ID,1518760931,62,-3.47,102.53,82.76,2.75
32,saskylakh,56,RU,1518760932,76,71.97,114.09,-11.74,3.98
33,ayolas,12,PY,1518760933,68,-27.39,-56.84,75.92,8.57
34,octeville,0,FR,1518759000,86,49.63,-1.64,41.0,4.7
35,baiyin,0,CN,1518757200,16,36.55,104.13,44.6,6.71
36,mount gambier,0,AU,1518760715,41,-37.83,140.78,73.04,5.99
37,margate,75,AU,1518759000,39,-43.03,147.26,62.6,18.34
38,mehamn,0,NO,1518758400,73,71.03,27.85,28.4,14.99
39,port hawkesbury,90,CA,1518757440,90,45.62,-61.36,33.8,5.82
40,gat,48,SN,1518760935,60,14.69,-16.54,69.17,19.53
41,prince rupert,90,CA,1518759120,100,54.32,-130.32,35.6,5.82
42,puerto suarez,44,BO,1518760936,95,-18.96,-57.8,74.53,1.41
43,roros,90,NO,1518758400,79,62.57,11.38,23.0,12.75
44,ixtapa,5,MX,1518756540,83,20.71,-105.21,71.6,5.82
45,yulara,68,AU,1518757200,27,-25.24,130.99,98.6,8.05
46,hermanus,32,ZA,1518760938,85,-34.42,19.24,63.64,1.74
47,nikolskoye,75,RU,1518759000,92,59.7,30.79,17.6,6.71
48,sayyan,0,YE,1518760939,27,15.17,44.32,58.37,1.41
49,makakilo city,20,US,1518757020,78,21.35,-158.09,73.4,8.05
50,qaanaaq,0,GL,1518760940,68,77.48,-69.36,-5.89,8.57
51,aberdeen,75,US,1518756780,71,45.47,-98.49,5.0,11.41
52,ribeira grande,44,PT,1518760942,100,38.52,-28.7,57.7,12.48
53,nome,90,US,1518758580,88,30.04,-94.42,69.8,9.17
54,port elizabeth,1,US,1518760500,93,39.31,-74.98,66.2,6.93
55,matamoros,90,US,1518759120,94,25.87,-97.51,71.6,14.99
56,puerto ayora,92,EC,1518760943,100,-0.74,-90.35,74.39,3.98
57,nuevo casas grandes,68,MX,1518760944,71,30.42,-107.91,55.54,8.01
58,mar del plata,8,AR,1518760944,39,-46.43,-67.52,71.24,13.15
59,cherskiy,12,RU,1518760945,58,68.75,161.3,-12.1,1.86
60,dalby,40,AU,1518757200,28,-27.18,151.26,96.8,4.7
61,kedrovyy,40,RU,1518759000,72,56.17,91.82,15.8,15.66
62,adelaide,20,AU,1518759000,49,-34.93,138.6,73.4,14.99
63,cidreira,20,BR,1518760946,84,-30.17,-50.22,67.82,11.25
64,hilo,90,US,1518759660,94,19.71,-155.08,71.6,11.41
65,punta arenas,75,CL,1518757200,66,-53.16,-70.91,50.0,6.93
66,busselton,92,AU,1518760947,66,-33.64,115.35,83.84,5.77
67,palauig,8,PH,1518760948,83,15.44,119.9,81.37,5.55
68,soavinandriana,8,MG,1518760948,100,-19.17,46.74,69.17,3.98
69,yar-sale,24,RU,1518760949,83,66.83,70.83,3.65,10.13
70,the pas,5,CA,1518757200,59,53.82,-101.24,-0.41,8.05
71,chiredzi,36,ZW,1518760950,91,-21.05,31.67,74.21,2.42
72,aiquile,80,BO,1518760950,100,-18.2,-65.18,51.17,2.86
